run,fid_esm,n_gen
ALL,14.002560018922006,12000
20250706-154628,2.6245802310497757,800
20250707-055456,1.8319662766670466,800
20250707-105025,3.642827111864948,800
20250708-031511,2.0641516889471654,800
20250710-042044,9.470079857450713,800
20250719-054302,2.692140345720474,800
20250724-032823,2.521865653293688,800
20250726-010812,22.784119887012565,800
20250730-075807,30.633987644316328,800
20250731-023622,24.095058560502288,800
20250914-030651,21.04560941724809,800
20250914-134953,46.857183619139384,800
20250915-033747,26.836490593372773,800
20250916-101929,10.176511171113802,800
20250916-171337,20.138159394077277,800
